Department,Role,Course Name,Description,Provider
IT,Software Engineer,Machine Learning Basics Training,Explore strategies for growth and efficiency.,LinkedIn Learning
Logistics,Logistics Analyst,Customer Service Excellence Training,Explore strategies for growth and efficiency.,Khan Academy
IT,Software Engineer,Legal Compliance Training,Learn practical applications and best practices.,Google Digital Garage
Marketing,Social Media Manager,Project Management Training,Master tools and techniques for improved productivity.,Skillshare
Legal,Legal Advisor,Network Security Training,Learn practical applications and best practices.,LinkedIn Learning
Engineering,Mechanical Engineer,Employee Training Training,Learn practical applications and best practices.,Pluralsight
Logistics,Logistics Analyst,Supply Chain Optimization Training,Build foundational and advanced skills.,Google Digital Garage
Logistics,Transport Coordinator,Market Research Training,Enhance problem-solving and analytical abilities.,Google Digital Garage
Sales,Sales Manager,Content Creation Training,Build foundational and advanced skills.,Udemy
Logistics,Warehouse Manager,Data Analysis Training,Master tools and techniques for improved productivity.,Google Digital Garage
Sales,Inside Sales Rep,Logistics Management Training,Learn practical applications and best practices.,Skillshare
HR,Payroll Specialist,Conflict Management Training,Learn practical applications and best practices.,edX
Sales,Business Development,Payroll Processing Training,Boost performance with proven methodologies.,Google Digital Garage
Marketing,Marketing Manager,Financial Accounting Training,Improve technical skills with hands-on training.,Coursera
Legal,Legal Advisor,Software Development Training,Develop expertise in leadership and decision-making.,Udemy
Legal,Contract Manager,Software Development Training,Learn practical applications and best practices.,Pluralsight
Operations,Procurement Officer,Software Development Training,Learn practical applications and best practices.,Skillshare
Finance,Tax Analyst,Database Optimization Training,Develop expertise in leadership and decision-making.,Pluralsight
Logistics,Logistics Analyst,Financial Accounting Training,Learn practical applications and best practices.,Google Digital Garage
Legal,Compliance Officer,Project Management Training,Understand key concepts and workflows.,Skillshare
Finance,Accountant,Cybersecurity Basics Training,Improve technical skills with hands-on training.,Khan Academy
Operations,Operations Manager,Logistics Management Training,Master tools and techniques for improved productivity.,edX
Operations,Procurement Officer,Leadership Skills Training,Enhance problem-solving and analytical abilities.,LinkedIn Learning
Finance,Tax Analyst,Audit Standards Training,Learn practical applications and best practices.,Skillshare
Legal,Legal Advisor,Leadership Skills Training,Gain skills for compliance and risk management.,Udemy
Marketing,Social Media Manager,Customer Service Excellence Training,Develop expertise in leadership and decision-making.,Google Digital Garage
Customer Service,Customer Service Rep,Network Security Training,Develop expertise in leadership and decision-making.,Khan Academy
Operations,Procurement Officer,Payroll Processing Training,Boost performance with proven methodologies.,HubSpot Academy
Operations,Logistics Specialist,SEO Optimization Training,Explore strategies for growth and efficiency.,HubSpot Academy
Operations,Project Manager,Market Research Training,Learn practical applications and best practices.,Skillshare
Logistics,Logistics Analyst,Machine Learning Basics Training,Build foundational and advanced skills.,Coursera
IT,Software Engineer,Network Security Training,Understand key concepts and workflows.,Coursera
HR,Payroll Specialist,Contract Negotiation Training,Gain skills for compliance and risk management.,Coursera
HR,HR Manager,Marketing Analytics Training,Boost performance with proven methodologies.,LinkedIn Learning
Finance,Auditor,Marketing Analytics Training,Understand key concepts and workflows.,edX
Operations,Project Manager,Software Development Training,Build foundational and advanced skills.,edX
IT,Cybersecurity Specialist,Cybersecurity Basics Training,Master tools and techniques for improved productivity.,Coursera
Legal,Contract Manager,Audit Standards Training,Develop expertise in leadership and decision-making.,Skillshare
Operations,Operations Manager,Network Security Training,Boost performance with proven methodologies.,Coursera
